NumberOfBHK,Price,Transaction,BuiltUpArea,Availability,PostedDate,PostedBy,ReraApproved,AreaName
2,66.31 Lakh,Resale,1124 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
3,86.08 Lakh,Resale,1459 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
2,75.69 Lakh,Resale,1283 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
3,84.42 Lakh,Resale,1431 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
3,79.47 Lakh,Resale,1347 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
3,68.03 Lakh,Resale,1745 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hoodi, Bangalore"
2,95.73 Lakh,New Property,907 Sq.Ft.,Ready To Move,28-Nov-2024,Broker,Yes," Kanakapura Road, Bangalore"
3,98.63 Lakh,New Property,1110 Sq.Ft.,Ready To Move,28-Nov-2024,Broker,Yes," Whitefield, Bangalore"
2,1.01 Crore,New Property,1452 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Begur Road, Bangalore"
2,1.03 Crore,New Property,1200 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Chikkavaderapura, Bangalore"
