,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
275,3,26100000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2104
276,3,16000000,Resale,Ready To Move,Broker,Yes, Banashankari,1612
277,3,36300000,New Property,Ready To Move,Broker,Yes, Whitefield,2757
278,4,24900000,New Property,Ready To Move,Broker,Yes, Whitefield,2428
279,2,8292000,New Property,Ready To Move,Broker,No, Sarjapur Road,1240
280,1,4400000,New Property,Ready To Move,Broker,No, Sarjapur Road,608
281,3,12900000,New Property,Ready To Move,Broker,No, Sarjapur Road,1615
282,2,11500000,New Property,Ready To Move,Broker,No, Whitefield,1352
283,3,8650000,New Property,Ready To Move,Broker,No, Thanisandra,1650
284,3,13000000,New Property,Ready To Move,Broker,No, Whitefield,1600
285,2,8200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1166
286,2,8000000,New Property,Ready To Move,Broker,No, Whitefield,1252
287,2,4000000,New Property,Ready To Move,Broker,No, Mysore Road,802
288,3,7200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1596
289,3,7150000,New Property,Ready To Move,Broker,No, Kengeri,1450
290,2,4815000,New Property,Ready To Move,Broker,No, Kengeri,950
291,2,7500000,New Property,Ready To Move,Broker,No, Uttarahalli,922
292,2,11300000,New Property,Ready To Move,Broker,No, Hebbal,1311
293,2,7500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1290
294,3,9863000,New Property,Ready To Move,Broker,Yes, Whitefield,1110
295,4+,48700000,Resale,Ready To Move,Broker,Yes, Koramangala,5325
296,3,5401000,Resale,Ready To Move,Broker,No, Whitefield,1385
297,2,11500000,New Property,Ready To Move,Broker,Yes, Whitefield,1390
298,2,12900000,New Property,Ready To Move,Broker,Yes, Chikkavaderapura,1345
299,3,21100000,Resale,Ready To Move,Broker,Yes, Sarjapur,2070
300,2,5405000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1150
301,3,5282000,New Property,Ready To Move,Broker,No, Whitefield,1390
302,2,5445000,New Property,Ready To Move,Broker,No, Whitefield,1089
303,2,7215000,New Property,Ready To Move,Broker,No, Whitefield,1092
304,2,2390000,New Property,Ready To Move,Broker,No, Sarjapur Road,683
305,2,6500000,New Property,Ready To Move,Broker,No, Kengeri,1221
306,3,6302000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1370
307,2,6699000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1100
308,1,2434000,New Property,Ready To Move,Broker,No, Doddaballapur Road,623
309,1,2259000,New Property,Ready To Move,Broker,No, Kengeri,619
310,2,8841000,New Property,Ready To Move,Broker,No, Kanakapura Road,1099
311,3,15200000,New Property,Ready To Move,Broker,No, Kanakapura Road,1710
312,2,5390000,New Property,Ready To Move,Broker,No, Marathahalli,1100
313,2,7771000,New Property,Ready To Move,Broker,No, Whitefield,1195
314,2,4551000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1110
315,4,80200000,New Property,Ready To Move,Broker,Yes, Hebbal,5260
316,1,3754000,Resale,Ready To Move,Broker,Yes, Bagaluru,652
317,3,16300000,New Property,Ready To Move,Broker,Yes, Hoodi,1883
318,3,40200000,New Property,Ready To Move,Broker,Yes, Jayanagar,2554
319,3,8616000,Resale,Ready To Move,Broker,No, Sarjapur Road,1436
320,4,71000000,Resale,Ready To Move,Broker,Yes, Rajaji Nagar,4269
321,3,11700000,New Property,Ready To Move,Broker,No, Whitefield,1523
322,2,6800000,New Property,Ready To Move,Broker,No, Whitefield,1275
323,2,9303000,New Property,Ready To Move,Broker,No, Whitefield,1456
324,2,2745000,New Property,Ready To Move,Broker,No, Chandapura,915
325,3,6363000,New Property,Ready To Move,Broker,No, Thanisandra,1515
326,2,3143000,New Property,Ready To Move,Broker,No, Kengeri,898
327,2,5100000,New Property,Ready To Move,Broker,No, Devanahalli,878
328,2,4820000,New Property,Ready To Move,Broker,No, Whitefield,1121
329,2,7176000,New Property,Ready To Move,Broker,No, Sarjapur,1160
330,3,12400000,New Property,Ready To Move,Broker,No, Hosur Road,1600
331,2,13800000,New Property,Ready To Move,Broker,No, Sarjapur Road,1075
332,3,13200000,New Property,Ready To Move,Broker,No, Whitefield,1335
333,3,14000000,New Property,Ready To Move,Broker,No, Whitefield,1588
334,3,18200000,New Property,Ready To Move,Broker,No, Whitefield,1655
335,2,8918000,New Property,Ready To Move,Broker,No, Whitefield,1059
336,2,6700000,New Property,Ready To Move,Broker,Yes, Samethanahalli,841
337,2,15700000,New Property,Ready To Move,Broker,Yes, Bannerghatta Road,1335
338,3,9650000,New Property,Ready To Move,Broker,Yes, Devanahalli,1273
339,3,16300000,New Property,Ready To Move,Broker,Yes, Hoodi,1883
340,4,108800000,New Property,Ready To Move,Broker,No, Benson Town,5180
341,3,14700000,New Property,Ready To Move,Broker,Yes, Haralur Road,1470
342,2,4820000,New Property,Ready To Move,Broker,No, Whitefield,1121
343,3,13200000,New Property,Ready To Move,Broker,No, Whitefield,1335
344,3,23500000,New Property,Ready To Move,Broker,No, Whitefield,1800
345,2,20000000,New Property,Ready To Move,Broker,No, Hennur Road,1375
346,2,7450000,New Property,Ready To Move,Broker,No, Electronic City,841
347,3,12500000,New Property,Ready To Move,Broker,No, Sarjapur,1865
348,2,3204000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,856
349,2,10200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1159
350,2,8200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1185
351,3,8203000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1570
352,3,8400000,New Property,Ready To Move,Broker,No, Tumkur Road,1415
353,3,8200000,New Property,Ready To Move,Broker,No, Marathahalli,1480
354,1,2722000,New Property,Ready To Move,Broker,No, Jigani,664
355,3,3021000,New Property,Ready To Move,Broker,No, Chandapura,1185
356,3,4356000,New Property,Ready To Move,Broker,No, Hoskote,1320
357,3,11600000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1455
358,4,18700000,Resale,Ready To Move,Broker,No, Varthur,2610
359,4,63800000,New Property,Ready To Move,Broker,Yes, Kundalahalli,4872
360,4,97000000,New Property,Ready To Move,Broker,Yes, Hebbal,5410
361,4,42500000,New Property,Ready To Move,Broker,Yes, Koramangala,3233
362,4,108800000,New Property,Ready To Move,Broker,No, Benson Town,5180
363,3,7320000,New Property,Ready To Move,Broker,No, Varthur,1220
364,2,9450000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1260
365,2,6276000,New Property,Ready To Move,Broker,No, Sarjapur,1010
366,2,6600000,New Property,Ready To Move,Broker,No, Whitefield,1200
367,2,4530000,New Property,Ready To Move,Broker,No, Chandapura,1020
368,3,10600000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1580
369,3,10100000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1500
370,1,7500000,New Property,Ready To Move,Broker,No, Electronic City Phase I,630
371,2,5900000,New Property,Ready To Move,Broker,No, Uttarahalli,1000
372,3,10500000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1570
373,2,8000000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1060
374,1,3099000,New Property,Ready To Move,Broker,No, Kengeri,540
375,3,16000000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1715
376,3,7378000,New Property,Ready To Move,Broker,No, Devanahalli,1736
377,3,9010000,New Property,Ready To Move,Broker,No, Sarjapur,1700
378,3,36500000,New Property,Ready To Move,Broker,Yes, Koramangala,2782
